	t	x	y
	0	1500	10
	1	1500.04	9.99997
	2	1500.08	9.99994
	3	1500.12	9.99991
	4	1500.16	9.99989
	5	1500.21	9.99986
	6	1500.26	9.99983
	7	1500.32	9.9998
	8	1500.38	9.99977
	9	1500.45	9.99974
	10	1500.52	9.99972
	11	1500.59	9.99969
	12	1500.67	9.99966
	13	1500.76	9.99963
	14	1500.85	9.9996
	15	1500.95	9.99957
	16	1501.05	9.99955
	17	1501.17	9.99952
	18	1501.29	9.99949
	19	1501.42	9.99946
	20	1501.56	9.99943
	21	1501.71	9.9994
	22	1501.87	9.99938
	23	1502.04	9.99935
	24	1502.23	9.99932
	25	1502.42	9.99929
	26	1502.63	9.99926
	27	1502.86	9.99923
	28	1503.1	9.99921
	29	1503.36	9.99918
	30	1503.63	9.99915
	31	1514.27	8.99922
	32	1525.64	8.9992
	33	1537.79	8.99918
	34	1550.78	8.99916
	35	1564.67	8.99914
	36	1579.52	8.99912
	37	1595.39	8.9991
	38	1612.35	8.99908
	39	1630.48	8.99907
	40	1649.87	8.99905
	41	1670.59	8.99903
	42	1692.74	8.99902
	43	1716.42	8.999
	44	1741.73	8.99898
	45	1768.78	8.99897
	46	1797.7	8.99896
	47	1828.62	8.99894
	48	1861.66	8.99893
	49	1896.99	8.99892
	50	1934.75	8.9989
	51	1975.11	8.99889
	52	2018.26	8.99888
	53	2064.38	8.99887
	54	2113.69	8.99887
	55	2166.39	8.99886
	56	2222.72	8.99885
	57	2282.94	8.99885
	58	2347.31	8.99884
	59	2416.12	8.99884
	60	2489.67	8.99884
	61	2577.6	8.09896
	62	2671.59	8.09897
	63	2772.06	8.09898
	64	2879.46	8.09899
	65	2994.26	8.099
	66	3116.97	8.09901
	67	3248.14	8.09903
	68	3388.35	8.09905
	69	3538.22	8.09907
	70	3698.43	8.0991
	71	3869.68	8.09912
	72	4052.72	8.09915
	73	4248.39	8.09919
	74	4457.53	8.09923
	75	4681.09	8.09927
	76	4920.06	8.09931
	77	5175.48	8.09936
	78	5448.51	8.09942
	79	5740.35	8.09948
	80	6052.29	8.09955
	81	6385.72	8.09962
	82	6742.12	8.09969
	83	7123.06	8.09978
	84	7530.24	8.09987
	85	7965.47	8.09997
	86	8430.66	8.10008
	87	8927.87	8.10019
	88	9459.33	8.10032
	89	10027.4	8.10045
	90	10634.5	8.1006
	91	11291.8	7.29068
	92	11994.3	7.29084
	93	12745.2	7.291
	94	13547.7	7.29118
	95	14405.4	7.29138
	96	15322	7.29158
	97	16301.8	7.29181
	98	17348.8	7.29205
	99	18467.8	7.2923
	100	19663.7	7.29258
	101	20941.8	7.29288
	102	22307.6	7.29319
	103	23767.1	7.29353
	104	25326.9	7.2939
	105	26993.7	7.29429
	106	28774.8	7.29471
	107	30678	7.29516
	108	32711.6	7.29564
	109	34884.6	7.29615
	110	37206.3	7.2967
	111	39687	7.29729
	112	42337.3	7.29792
	113	45168.9	7.2986
	114	48193.9	7.29932
	115	51425.5	7.3001
	116	54877.6	7.30092
	117	58565.1	7.30181
	118	62503.8	7.30276
	119	66710.7	7.30377
	120	71203.8	7.30486
	121	76009.7	6.57542
