	t	x	y
	0	1500	10
	1	1500.04	9.99997
	2	1500.08	9.99994
	3	1500.12	9.99991
	4	1500.16	9.99989
	5	1500.21	9.99986
	6	1500.26	9.99983
	7	1500.32	9.9998
	8	1500.38	9.99977
	9	1500.45	9.99974
	10	1500.52	9.99972
	11	1500.59	9.99969
	12	1500.67	9.99966
	13	1500.76	9.99963
	14	1500.85	9.9996
	15	1500.95	9.99957
	16	1501.05	9.99955
	17	1501.17	9.99952
	18	1501.29	9.99949
	19	1501.42	9.99946
	20	1501.56	9.99943
	21	1501.71	9.9994
	22	1501.87	9.99938
	23	1502.04	9.99935
	24	1502.23	9.99932
	25	1502.42	9.99929
	26	1502.63	9.99926
	27	1502.86	9.99923
	28	1503.1	9.99921
	29	1503.36	9.99918
	30	1503.63	9.99915
	31	1503.93	9.99912
	32	1504.25	9.99909
	33	1504.59	9.99907
	34	1504.95	9.99904
	35	1505.33	9.99901
	36	1505.75	9.99898
	37	1506.19	9.99895
	38	1506.67	9.99892
	39	1507.17	9.9989
	40	1507.72	9.99887
	41	1508.3	9.99884
	42	1508.92	9.99881
	43	1509.58	9.99878
	44	1510.29	9.99875
	45	1511.05	9.99873
	46	1511.86	9.9987
	47	1512.73	9.99867
	48	1513.65	9.99864
	49	1514.65	9.99861
	50	1515.71	9.99859
	51	1516.84	9.99856
	52	1518.05	9.99853
	53	1519.35	9.9985
	54	1520.74	9.99847
	55	1522.22	9.99845
	56	1523.8	9.99842
	57	1525.5	9.99839
	58	1527.31	9.99836
	59	1529.24	9.99834
	60	1531.31	9.99831
	61	1533.53	9.99828
	62	1535.89	9.99825
	63	1538.42	9.99823
	64	1541.13	9.9982
	65	1544.02	9.99817
	66	1547.11	9.99814
	67	1550.41	9.99812
	68	1553.94	9.99809
	69	1557.72	9.99806
	70	1561.75	9.99803
	71	1566.07	9.99801
	72	1570.68	9.99798
	73	1575.61	9.99795
	74	1580.88	9.99793
	75	1586.52	9.9979
	76	1592.54	9.99787
	77	1598.98	9.99785
	78	1605.86	9.99782
	79	1613.22	9.9978
	80	1621.09	9.99777
	81	1629.5	9.99774
	82	1638.49	9.99772
	83	1648.1	9.99769
	84	1658.37	9.99767
	85	1669.35	9.99764
	86	1681.09	9.99762
	87	1693.63	9.9976
	88	1707.05	9.99757
	89	1721.38	9.99755
	90	1736.71	9.99753
	91	1784.11	6.99826
	92	1834.77	6.99826
	93	1888.93	6.99826
	94	1946.83	6.99826
	95	2008.71	6.99826
	96	2074.87	6.99826
	97	2145.58	6.99827
	98	2221.17	6.99827
	99	2301.97	6.99827
	100	2388.34	6.99828
	101	2480.66	6.99829
	102	2579.35	6.9983
	103	2684.84	6.99831
	104	2797.61	6.99832
	105	2918.15	6.99833
	106	3046.99	6.99835
	107	3184.72	6.99837
	108	3331.94	6.99839
	109	3489.31	6.99841
	110	3657.53	6.99844
	111	3837.34	6.99847
	112	4029.54	6.9985
	113	4234.99	6.99853
	114	4454.59	6.99857
	115	4689.33	6.99861
	116	4940.24	6.99865
	117	5208.44	6.9987
	118	5495.12	6.99875
	119	5801.55	6.99881
	120	6129.09	6.99887
